username,rating pengguna,review,tanggal
Pengguna Google,1,saya beli paket data.sudah di teranfer tapi kuata ga masuk saldo tetep d potong.parah bangt saldo ilang 100 ribu lebih.kecewa,2026-06-22 13:36:05
Pengguna Google,5,main game,2026-06-22 13:30:16
Pengguna Google,5,lancar jaya,2026-06-22 13:27:17
Pengguna Google,1,sinyal jelek,2026-06-22 13:25:15
Pengguna Google,1,jaringannya super JELEK JAKARTA BARAT SERENGSENG,2026-06-22 13:24:20
Pengguna Google,1,tolong jaringan m3 mohon di perbaiki lagi dong masa lemot banget sih jaringan nya😈,2026-06-22 13:23:51
Pengguna Google,5,Bgus kalau bisa kalau pas mati lampu jaringan jangan leleh kali,2026-06-22 13:16:12
Pengguna Google,5,aplikasinya bagus,2026-06-22 13:14:33
Pengguna Google,5,sangat murah,2026-06-22 13:13:26
Pengguna Google,5,bagus sangat bagus dan amanah,2026-06-22 13:05:21
Pengguna Google,5,mancaaapppppppp,2026-06-22 13:02:42
Pengguna Google,5,bagus,2026-06-22 12:59:23
Pengguna Google,1,aplnya bagus,2026-06-22 12:56:48
Pengguna Google,5,jos,2026-06-22 12:54:32
Pengguna Google,1,"untuk sekarang, kualitas signal sangat buruk dibandingkan dengan provider yang lain, apalagi dengan tipikal paket bulanan, sangat tidak recommended",2026-06-22 12:50:14
Pengguna Google,1,"untuk sekarang, kualitas signal sangat buruk dibandingkan dengan provider yang lain, apalagi dengan tipikal paket bulanan, sangat tidak recommended",2026-06-22 12:49:51
Pengguna Google,1,"untuk sekarang, kualitas signal sangat buruk dibandingkan dengan provider yang lain, apalagi dengan tipikal paket bulanan, sangat tidak recommended",2026-06-22 12:49:32
Pengguna Google,5,baik,2026-06-22 12:49:20
Pengguna Google,1,"untuk sekarang, kualitas signal sangat buruk dibandingkan dengan provider yang lain, apalagi dengan tipikal paket bulanan, sangat tidak recommended",2026-06-22 12:48:50
Pengguna Google,5,mantap,2026-06-22 12:47:30
Pengguna Google,1,"untuk sekarang, kualitas signal sangat buruk dibandingkan dengan provider yang lain, apalagi dengan tipikal paket bulanan, sangat tidak recommended",2026-06-22 12:47:15
Pengguna Google,5,sip lah pokoknya,2026-06-22 12:45:11
Pengguna Google,1,"setiap data habis pasti ada tawaran data darurat 6gb sudah 2x kuambil tapi kenapa ngga bisa digunakan,malah minta diganti waktu isi ulang,ini trik curang kah biar untung(!)(?)",2026-06-22 12:42:00
Pengguna Google,5,sangat bagus,2026-06-22 12:27:35
Pengguna Google,1,"kalo mau bagiin promosi secukupnya aja. gausah bikin jengkel pengguna, males banget asli tiap 30 menit ada aja promo nya, mending klo promonya lewat notif atas ini promonya pake notif yg biasa dipake siaran darurat. gila banget, mana terus terusan pula",2026-06-22 12:25:11
Pengguna Google,5,jaringan nya lancad,2026-06-22 12:23:11
Pengguna Google,5,baik,2026-06-22 12:22:19
Pengguna Google,3,mahal banget ni kuota,2026-06-22 12:15:44
Pengguna Google,1,"sinyalnya DARI TAHUN KEMARIN SAMA AJA, JELEK TERUS. pilihannya juga makin lama g jelas. kuota bulanan lama² 28 hari semua, lu kata 1 tahun februari semua gitu. kemaruk",2026-06-22 12:10:28
Pengguna Google,5,mantap,2026-06-22 12:09:44
Pengguna Google,5,ok,2026-06-22 12:07:33
Pengguna Google,5,"Bintang 5 biar dibaca.Saya cuma mau bilang,it's ok beli paket kuota dikit(udah mahal,orang cuma butuh kuotanya malah ditambah langganan lain2 yang ga penting) tapi masa aktif kasih 2x lipat atau lebih lah,seumur hidup sekalian biar ga bimbang,jaman sekarang sim card itu jadi penting,sementara ekonomi sulit,tolong mengertilah orang-orang kecil dan itu paket data jangan mahal-mahal saya jadi males beli tau terima kasih indosat.",2026-06-22 12:02:05
Pengguna Google,5,sangat bgus layanan nya,2026-06-22 11:54:54
Pengguna Google,1,bagus,2026-06-22 11:54:25
Pengguna Google,3,sinyale kurang kos,2026-06-22 11:50:54
Pengguna Google,5,terlalu pelit untuk berbagai,2026-06-22 11:47:31
Pengguna Google,5,"agak mahal semoga lain kali ada yang lebih murah, dan batas habis paket data itu yang kurang lama mohon di per murah agar meriah🙏🙏🙏😁😁",2026-06-22 11:42:18
Pengguna Google,1,mahal paketnya,2026-06-22 11:34:30
Pengguna Google,1,tolol gangguan setiap di buka gangguan gajelas,2026-06-22 11:29:36
Pengguna Google,5,sangat bagus,2026-06-22 11:12:19
Pengguna Google,5,ok,2026-06-22 11:10:14
Pengguna Google,5,aplikasi nya bagus sekali,2026-06-22 11:09:10
Pengguna Google,4,jaringan nya kadang² gak bagus,2026-06-22 11:06:38
Pengguna Google,5,baik,2026-06-22 10:54:24
Pengguna Google,5,bagud,2026-06-22 10:50:35
Pengguna Google,4,kenapa KLO dauwnold mesti 2x loding sinyal lemot,2026-06-22 10:37:58
Pengguna Google,3,"saya ga mau basa basi ...maaf saya ada 3 kartu ( Isat, si biru hijau dan si Merah ) teryata yg juara paling Lemot itu jatuh pada si kuning Isat tolong dong min , aya naun alias kunaon lemot ...mot mot mot...",2026-06-22 10:36:48
Pengguna Google,5,sangat baik,2026-06-22 10:23:12
Pengguna Google,3,Kuota sekarang mahal amat,2026-06-22 10:21:01
Pengguna Google,5,👌oke,2026-06-22 10:20:17
Pengguna Google,2,paket harga mahal,2026-06-22 10:17:36
Pengguna Google,4,"jangan makin naik aja, harusnya paketan semakin murah.",2026-06-22 10:12:58
Pengguna Google,5,bagus banget,2026-06-22 10:11:02
Pengguna Google,5,Keren sekali pokoknya,2026-06-22 10:09:22
Pengguna Google,5,"lumayan bagus, cuma kamu lampu mati jaringan hilang dilokasi aq, kaltim, kabupaten berau",2026-06-22 10:09:02
Pengguna Google,4,"tolong di perbaiki sinyal im3 nya dong, makin hari makin buruk",2026-06-22 10:08:36
Pengguna Google,5,mantap,2026-06-22 10:02:00
Pengguna Google,1,"ampe 2026 sinyal indosat masih busuk aja, tutup provider dah, enakan tri",2026-06-22 09:56:53
Pengguna Google,1,susah banget aplikasi nya dibuka. aplikasi paling lama kalo dibuka tuh ya Indosat dibanding sama provider lain nya,2026-06-22 09:54:45
Pengguna Google,4,bagus,2026-06-22 09:54:15
Pengguna Google,3,bagus,2026-06-22 09:52:28
Pengguna Google,5,aplikasi nya mantep banget bisa masuk klo gak punya kuota,2026-06-22 09:34:49
